"term","local.Base.freq","Base.local.IC","local.Prop.freq","Propagated.local.IC"
"HP:0000548",0,0,0,0
"HP:0000549",0,0,0,0
"HP:0000550",0,0,0,0
"HP:0000551",0,0,0,0
"HP:0000551",0,0,0,0
"HP:0000552",0,0,0,0
"HP:0000553",0,0,0,0
"HP:0000554",0,0,0,0
"HP:0000554",0,0,0,0
"HP:0000555",0,0,0,0
"HP:0000556",0,0,0,0
"HP:0000557",0,0,0,0
"HP:0000558",0,0,0,0
"HP:0000558",0,0,0,0
"HP:0000559",0,0,0,0
"HP:0000559",0,0,0,0
"HP:0000561",0,0,0,0
"HP:0000561",0,0,0,0
"HP:0000563",0,0,0,0
"HP:0000563",0,0,0,0
"HP:0000564",0,0,0,0
"HP:0000565",0,0,0,0
"HP:0000567",0,0,0,0
"HP:0000567",0,0,0,0
"HP:0000568",0,0,0,0
"HP:0000568",0,0,0,0
"HP:0000570",0,0,0,0
"HP:0000571",0,0,0,0
"HP:0000572",0,0,0,0
"HP:0000573",0,0,0,0
"HP:0000573",0,0,0,0
"HP:0000574",0,0,0,0
"HP:0000575",0,0,0,0
"HP:0000576",0,0,0,0
"HP:0000577",0,0,0,0
"HP:0000579",0,0,0,0
"HP:0000580",0,0,0,0
"HP:0000581",0,0,0,0
"HP:0000582",0,0,0,0
"HP:0000584",0,0,0,0
"HP:0000585",0,0,0,0
"HP:0000586",0,0,0,0
"HP:0000586",0,0,0,0
"HP:0000587",0,0,0,0
"HP:0000588",0,0,0,0
"HP:0000588",0,0,0,0
"HP:0000589",0,0,0,0
"HP:0000590",0,0,0,0
"HP:0000591",0,0,0,0
"HP:0000592",0,0,0,0
"HP:0000593",0,0,0,0
"HP:0000594",0,0,0,0
"HP:0000597",0,0,0,0
"HP:0000598",0,0,0,0
"HP:0000599",0,0,0,0
"HP:0000599",0,0,0,0
"HP:0000600",0,0,0,0
"HP:0000601",0,0,0,0
"HP:0000602",0,0,0,0
"HP:0000603",0,0,0,0
"HP:0000605",0,0,0,0
"HP:0000606",0,0,0,0
"HP:0000607",0,0,0,0
"HP:0000607",0,0,0,0
"HP:0000608",0,0,0,0
"HP:0000609",0,0,0,0
"HP:0000609",0,0,0,0
"HP:0000610",0,0,0,0
"HP:0000610",0,0,0,0
"HP:0000611",0,0,0,0
"HP:0000612",0,0,0,0
"HP:0000612",0,0,0,0
"HP:0000613",0,0,0,0
"HP:0000613",0,0,0,0
"HP:0000614",0,0,0,0
"HP:0000615",0,0,0,0
"HP:0000616",0,0,0,0
"HP:0000617",0,0,0,0
"HP:0000618",0,0,0,0
"HP:0000619",0,0,0,0
"HP:0000620",0,0,0,0
"HP:0000621",0,0,0,0
"HP:0000622",0,0,0,0
"HP:0000623",0,0,0,0
"HP:0000625",0,0,0,0
"HP:0000627",0,0,0,0
"HP:0000629",0,0,0,0
"HP:0000630",0,0,0,0
"HP:0000630",0,0,0,0
"HP:0000630",0,0,0,0
"HP:0000631",0,0,0,0
"HP:0000631",0,0,0,0
"HP:0000631",0,0,0,0
"HP:0000632",0,0,0,0
"HP:0000633",0,0,0,0
"HP:0000634",0,0,0,0
"HP:0000635",0,0,0,0
"HP:0000636",0,0,0,0
"HP:0000637",0,0,0,0
"HP:0000639",0,0,0,0
"HP:0000640",0,0,0,0
"HP:0000641",0,0,0,0
"HP:0000642",0,0,0,0
"HP:0000643",0,0,0,0
"HP:0000643",0,0,0,0
"HP:0000646",0,0,0,0
"HP:0000647",0,0,0,0
"HP:0000648",0,0,0,0
"HP:0000649",0,0,0,0
"HP:0000650",0,0,0,0
"HP:0000651",0,0,0,0
"HP:0000652",0,0,0,0
"HP:0000653",0,0,0,0
"HP:0000653",0,0,0,0
"HP:0000654",0,0,0,0
"HP:0000655",0,0,0,0
"HP:0000656",0,0,0,0
"HP:0000657",0,0,0,0
"HP:0000657",0,0,0,0
"HP:0000658",0,0,0,0
"HP:0000658",0,0,0,0
"HP:0000659",0,0,0,0
"HP:0000660",0,0,0,0
"HP:0000661",0,0,0,0
"HP:0000662",0,0,0,0
"HP:0000664",0,0,0,0
"HP:0000664",0,0,0,0
"HP:0000666",0,0,0,0
"HP:0000667",0,0,0,0
"HP:0000668",0,0,0,0
"HP:0000670",0,0,0,0
"HP:0000674",0,0,0,0
"HP:0000675",0,0,0,0
"HP:0000676",0,0,0,0
"HP:0000677",0,0,0,0
"HP:0000678",0,0,0,0
"HP:0000679",0,0,0,0
"HP:0000679",0,0,0,0
"HP:0000679",0,0,0,0
"HP:0000680",0,0,0,0
"HP:0000680",0,0,0,0
"HP:0000682",0,0,0,0
"HP:0000682",0,0,0,0
"HP:0000683",0,0,0,0
"HP:0000683",0,0,0,0
"HP:0000684",0,0,0,0
"HP:0000685",0,0,0,0
"HP:0000687",0,0,0,0
"HP:0000689",0,0,0,0
"HP:0000690",0,0,0,0
"HP:0000690",0,0,0,0
"HP:0000691",0,0,0,0
"HP:0000692",0,0,0,0
"HP:0000694",0,0,0,0
"HP:0000695",0,0,0,0
"HP:0000696",0,0,0,0
"HP:0000698",0,0,0,0
"HP:0000699",0,0,0,0
